Rk,Player,Age,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,GG,AS,SS,MVP,Position
110,Ty France,29,-0.6,140,535,479,46,112,24,0,13,51,1,1,38,114,0.234,0.305,0.365,0.67,92,0.301,95,175,16,13,0,5,0,0,0,0,,3.0
111,Shea Langeliers,26,2.9,137,534,482,58,108,18,2,29,80,4,2,41,145,0.224,0.288,0.45,0.739,111,0.321,111,217,15,5,0,6,2,0,0,0,,2.0
112,Corey Seager,30,5.0,123,533,475,68,132,21,0,30,74,1,1,53,96,0.278,0.353,0.512,0.864,146,0.363,139,243,8,3,0,2,11,0,1,0,15.0,6.0
113,Leody Taveras,25,0.5,151,529,480,59,110,17,3,12,44,23,6,42,112,0.229,0.289,0.352,0.641,84,0.293,84,169,8,0,3,4,0,0,0,0,,8.0
114,Luis Garcia Jr.,24,2.2,140,528,500,58,141,25,1,18,70,22,5,27,86,0.282,0.318,0.444,0.762,115,0.336,114,222,12,0,0,1,2,0,0,0,,4.0
115,Lane Thomas,28,0.3,130,528,472,65,112,26,3,15,63,32,14,44,137,0.237,0.309,0.4,0.709,101,0.315,101,189,5,7,0,5,1,0,0,0,,9.0
116,Sal Frelick,24,2.1,145,524,475,66,123,22,4,2,32,18,3,39,78,0.259,0.32,0.335,0.655,84,0.303,84,159,8,4,2,1,0,1,0,0,,9.0
117,Andrew Benintendi,29,-0.8,135,522,477,50,109,20,0,20,64,3,2,41,96,0.229,0.289,0.396,0.685,95,0.299,92,189,12,1,0,3,1,0,0,0,,7.0
118,Logan O'Hoppe,24,2.7,136,522,479,64,117,17,1,20,56,2,3,33,155,0.244,0.303,0.409,0.712,99,0.315,102,196,7,8,1,1,0,0,0,0,,2.0
119,Jacob Young,24,2.8,150,521,468,75,120,24,1,3,36,33,10,30,102,0.256,0.316,0.331,0.648,86,0.299,87,155,11,12,9,2,0,0,0,0,,8.0
120,Heliot Ramos,24,2.3,121,518,475,54,128,23,3,22,72,6,1,37,135,0.269,0.322,0.469,0.792,125,0.349,129,223,12,2,0,4,2,0,1,0,,8.0
121,Rhys Hoskins,31,-0.2,131,517,449,59,96,14,0,26,82,3,0,53,149,0.214,0.303,0.419,0.722,99,0.314,95,188,11,7,0,6,1,0,0,0,,3.0
